Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;GLAccountClass_01;GLAccClassDesc_01Description
100;Goodwill;B;Balans;;;BIva;Immateriële vaste activa
111;Cumulatieve afschrijving goodwill;B;Balans;;;BIva;Immateriële vaste activa
200;Gebouwen;B;Balans;;;BMva;Materiële vaste activa
205;Grond;B;Balans;;;BMva;Materiële vaste activa
211;Cumulatieve afschrijvingen gebouwen;B;Balans;;;BMva;Materiële vaste activa
240;Machines en installaties;B;Balans;;;BMva;Materiële vaste activa
241;Cumulatieve afschrijvingen machines en installaties;B;Balans;;;BMva;Materiële vaste activa
250;Bedrijfsinventaris;B;Balans;;;BMva;Materiële vaste activa
251;Cumulatieve afschrijvingen bedrijfsinventaris;B;Balans;;;BMva;Materiële vaste activa
255;Bedrijfsinventaris 2;B;Balans;;;BMva;Materiële vaste activa
256;Cumulatieve afschrijvingen bedrijfsinventaris 2;B;Balans;;;BMva;Materiële vaste activa
260;Vervoermiddelen;B;Balans;;;BMva;Materiële vaste activa
261;Cumulatieve afschrijvingen vervoermiddelen;B;Balans;;;BMva;Materiële vaste activa
290;Herwaardering activa;B;Balans;;;BMva;Materiële vaste activa
300;Waarborgsommen;B;Balans;;;BVor;Vorderingen
500;Deelneming 1;B;Balans;;;BFva;Financiële vaste activa
510;Deelneming 2;B;Balans;;;BFva;Financiële vaste activa
520;Deelneming 3;B;Balans;;;BFva;Financiële vaste activa
530;Deelneming 4;B;Balans;;;BFva;Financiële vaste activa
540;Deelneming 5;B;Balans;;;BFva;Financiële vaste activa
550;Actieve belastinglatentie;B;Balans;;;BFva;Financiële vaste activa
560;Lening u/g 1;B;Balans;;;BFva;Financiële vaste activa
561;Lening u/g 2;B;Balans;;;BFva;Financiële vaste activa
562;Lening u/g 3;B;Balans;;;BFva;Financiële vaste activa
563;Lening u/g 4;B;Balans;;;BFva;Financiële vaste activa
564;Lening u/g 5;B;Balans;;;BFva;Financiële vaste activa
600;Effecten;B;Balans;;;BEff;Effecten (kortlopend)
700;Aandelenkapitaal;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
710;Agioreserve;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
720;Herwaarderingsreserve;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
721;Wettelijke reserve;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
750;Overige reserve;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
751;Onverdeeld resultaat;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
760;Kapitaal vennoot 1;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
765;Kapitaalmutaties vennoot 1;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
770;Kapitaal vennoot 2;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
775;Kapitaalmutaties vennoot 2;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
780;Kapitaal vennoot 3;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
785;Kapitaalmutaties vennoot 3;B;Balans;;;BEiv;Groepsvermogen - Eigen vermogen - Kapitaal
800;Pensioenvoorziening;B;Balans;;;BVrz;Voorzieningen
801;Garantievoorziening;B;Balans;;;BVrz;Voorzieningen
802;Voorziening groot onderhoud;B;Balans;;;BVrz;Voorzieningen
803;Voorziening belastinglatentie;B;Balans;;;BVrz;Voorzieningen
850;Voorziening deelneming 1;B;Balans;BVrzOvzVid;Voorziening in verband met deelnemingen;BVrz;Voorzieningen
860;Voorziening deelneming 2;B;Balans;;;BVrz;Voorzieningen
870;Voorziening deelneming 3;B;Balans;;;BVrz;Voorzieningen
880;Voorziening deelneming 4;B;Balans;;;BVrz;Voorzieningen
890;Voorziening deelneming 5;B;Balans;;;BVrz;Voorzieningen
900;Hypothecaire lening 1;B;Balans;;;BLas;Langlopende schulden
901;Cumulatieve aflossingen hypothecaire lening 1;B;Balans;;;BLas;Langlopende schulden
902;Hypothecaire lening 2;B;Balans;;;BLas;Langlopende schulden
903;Cumulatieve aflossingen hypothecaire lening 2;B;Balans;;;BLas;Langlopende schulden
904;Hypothecaire lening 3;B;Balans;;;BLas;Langlopende schulden
905;Cumulatieve aflossingen hypothecaire lening 3;B;Balans;;;BLas;Langlopende schulden
906;Hypothecaire lening 4;B;Balans;;;BLas;Langlopende schulden
907;Cumulatieve aflossingen hypothecaire lening 4;B;Balans;;;BLas;Langlopende schulden
908;Hypothecaire lening 5;B;Balans;;;BLas;Langlopende schulden
909;Cumulatieve aflossingen hypothecaire lening 5;B;Balans;;;BLas;Langlopende schulden
920;Lening o/g 1;B;Balans;;;BLas;Langlopende schulden
921;Cumulatieve aflossingen lening o/g 1;B;Balans;;;BLas;Langlopende schulden
922;Lening o/g 2;B;Balans;;;BLas;Langlopende schulden
923;Cumulatieve aflossingen lening o/g 2;B;Balans;;;BLas;Langlopende schulden
924;Lening o/g 3;B;Balans;;;BLas;Langlopende schulden
925;Cumulatieve aflossingen lening o/g 3;B;Balans;;;BLas;Langlopende schulden
926;Lening o/g 4;B;Balans;;;BLas;Langlopende schulden
927;Cumulatieve aflossingen lening o/g 4;B;Balans;;;BLas;Langlopende schulden
928;Lening o/g 5;B;Balans;;;BLas;Langlopende schulden
929;Cumulatieve aflossingen lening o/g 5;B;Balans;;;BLas;Langlopende schulden
940;Reserve Uitgesteld Salaris;B;Balans;;;BSch;Kortlopende schulden
960;Lease 1;B;Balans;;;BLas;Langlopende schulden
961;Aflossingen lease 1;B;Balans;;;BLas;Langlopende schulden
962;Lease 2;B;Balans;;;BLas;Langlopende schulden
963;Aflossingen lease 2;B;Balans;;;BLas;Langlopende schulden
964;Lease 3;B;Balans;;;BLas;Langlopende schulden
965;Aflossingen lease  3;B;Balans;;;BLas;Langlopende schulden
966;Lease 4;B;Balans;;;BLas;Langlopende schulden
967;Aflossingen lease 4;B;Balans;;;BLas;Langlopende schulden
968;Lease 5;B;Balans;;;BLas;Langlopende schulden
969;Aflossingen lease 5;B;Balans;;;BLas;Langlopende schulden
980;Geactiveerde rente lease;B;Balans;;;BVor;Vorderingen
1000;Kas 1;B;Balans;;;BLim;Liquide middelen
1010;Kas 2;B;Balans;;;BLim;Liquide middelen
1100;Bank 1;B;Balans;;;BLim;Liquide middelen
1110;Bank 2;B;Balans;;;BLim;Liquide middelen
1120;Bank 3;B;Balans;;;BLim;Liquide middelen
1130;Bank 4;B;Balans;;;BLim;Liquide middelen
1140;Bank 5;B;Balans;;;BLim;Liquide middelen
1150;Bank 6;B;Balans;;;BLim;Liquide middelen
1160;Bank 7;B;Balans;;;BLim;Liquide middelen
1170;Bank 8;B;Balans;;;BLim;Liquide middelen
1180;Bank 9;B;Balans;;;BLim;Liquide middelen
1190;Bank 10;B;Balans;;;BLim;Liquide middelen
1300;Debiteuren;B;Balans;;;BVor;Vorderingen
1310;Debiteuren zonder sub;B;Balans;;;BVor;Vorderingen
1320;Voorziening dubieuze debiteuren;B;Balans;;;BVor;Vorderingen
1400;Rekening-courant groepsmaatschappijen 1;B;Balans;;;BVor;Vorderingen
1405;Rekening-courant groepsmaatschappijen 2;B;Balans;;;BVor;Vorderingen
1410;Rekening-courant groepsmaatschappijen 3;B;Balans;;;BVor;Vorderingen
1415;Rekening-courant groepsmaatschappijen 4;B;Balans;;;BVor;Vorderingen
1420;Rekening-courant groepsmaatschappijen 5;B;Balans;;;BVor;Vorderingen
1425;Rekening-courant groepsmaatschappijen 6;B;Balans;;;BVor;Vorderingen
