Finny_GLCode;Finny_GLDescription;BalanceTypeCode;BalanceTypeDescription;cgClassificationNewStyle6_GLSchemeCode;GLClassificationCode_RGS versie 3.5;GLClassificationDescr_RGS versie 3.5Description;TypeCode;TypeDescriptionDescription;BalanceSideDescription;BalanceSideCode;InterpretationHint;SemanticDescription
100;Goodwill;B;Balans;RGS versie 3.5;BIvaGooVvp;Verkrijgings- of vervaardigingsprijs goodwill;30;Vaste activa;Debet;D;BALANS;goodwill | tags: balans
111;Cumulatieve afschrijving goodwill;B;Balans;RGS versie 3.5;BIvaGooCae;Cumulatieve afschrijvingen en waardeverminderingen goodwill;35;Cumulatieve afschrijvingen;Debet;D;BOTH;"cumulatieve afschrijving goodwill | tags: afschrijving; balans_en_w&v"
200;Gebouwen;B;Balans;RGS versie 3.5;BMvaBegVvp;Verkrijgings- of vervaardigingsprijs bedrijfsgebouwen;30;Vaste activa;Debet;D;BALANS;"gebouwen | tags: balans; gebouw; huisvesting; pand"
205;Grond;B;Balans;RGS versie 3.5;BMvaTerVvp;Verkrijgings- of vervaardigingsprijs terreinen;30;Vaste activa;Debet;D;BALANS;grond | tags: balans
211;Cumulatieve afschrijvingen gebouwen;B;Balans;RGS versie 3.5;BMvaBegCae;Cumulatieve afschrijvingen en waardeverminderingen bedrijfsgebouwen;35;Cumulatieve afschrijvingen;Credit;C;BOTH;"cumulatieve afschrijvingen gebouwen | tags: afschrijving; balans_en_w&v; gebouw; huisvesting; pand"
240;Machines en installaties;B;Balans;RGS versie 3.5;BMvaMeiVvp;Verkrijgings- of vervaardigingsprijs machines en installaties;30;Vaste activa;Debet;D;BALANS;machines en installaties | tags: balans
241;Cumulatieve afschrijvingen machines en installaties;B;Balans;RGS versie 3.5;BMvaMeiCae;Cumulatieve afschrijvingen en waardeverminderingen machines en installaties;35;Cumulatieve afschrijvingen;Credit;C;BOTH;"cumulatieve afschrijvingen machines en installaties | tags: afschrijving; balans_en_w&v"
250;Bedrijfsinventaris;B;Balans;RGS versie 3.5;BMvaBeiVvp;Verkrijgings- of vervaardigingsprijs inventaris;30;Vaste activa;Debet;D;BALANS;bedrijfsinventaris | tags: balans
251;Cumulatieve afschrijvingen bedrijfsinventaris;B;Balans;RGS versie 3.5;BMvaBeiCae;Cumulatieve afschrijvingen en waardeverminderingen inventaris;35;Cumulatieve afschrijvingen;Credit;C;BOTH;"cumulatieve afschrijvingen bedrijfsinventaris | tags: afschrijving; balans_en_w&v"
255;Bedrijfsinventaris 2;B;Balans;RGS versie 3.5;BMvaBeiVvp;Verkrijgings- of vervaardigingsprijs inventaris;30;Vaste activa;Debet;D;BALANS;bedrijfsinventaris 2 | tags: balans
